,Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
205,2007.03,Pension funds,261,Closing balance net worth,LE00000,B900000,0
206,2007.03,Pension funds,261,Closing balance total liabilities and net worth,LE00000,L000000,31919
207,2007.03,Financial auxiliaries,270,Closing balance total assets,LE00000,A000000,5346
208,2007.03,Financial auxiliaries,270,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,4246
209,2007.03,Financial auxiliaries,270,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
210,2007.03,Financial auxiliaries,270,Financial assets Closing balance currency and deposits,LE00000,AFA0200,C
211,2007.03,Financial auxiliaries,270,Financial assets Closing balance debt securities,LE00000,AFA0300,C
212,2007.03,Financial auxiliaries,270,Financial assets Closing balance loans,LE00000,AFA0400,C
213,2007.03,Financial auxiliaries,270,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,1826
214,2007.03,Financial auxiliaries,270,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
215,2007.03,Financial auxiliaries,270,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,241
216,2007.03,Financial auxiliaries,270,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,501
217,2007.03,Financial auxiliaries,270,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,5346
218,2007.03,Financial auxiliaries,270,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
219,2007.03,Financial auxiliaries,270,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
220,2007.03,Financial auxiliaries,270,Financial liabilities Closing balance debt securities,LE00000,AFL0300,C
221,2007.03,Financial auxiliaries,270,Financial liabilities Closing balance loans,LE00000,AFL0400,C
222,2007.03,Financial auxiliaries,270,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,3340
223,2007.03,Financial auxiliaries,270,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
224,2007.03,Financial auxiliaries,270,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,250
225,2007.03,Financial auxiliaries,270,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,364
226,2007.03,Financial auxiliaries,270,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,752
227,2007.03,Financial auxiliaries,270,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,349
228,2007.03,Financial auxiliaries,270,Closing balance net worth,LE00000,B900000,0
229,2007.03,Financial auxiliaries,270,Closing balance total liabilities and net worth,LE00000,L000000,5346
230,2007.03,Captive financial institutions,281,Closing balance total assets,LE00000,A000000,278681
231,2007.03,Captive financial institutions,281,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,274494
232,2007.03,Captive financial institutions,281,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
233,2007.03,Captive financial institutions,281,Financial assets Closing balance currency and deposits,LE00000,AFA0200,11091
234,2007.03,Captive financial institutions,281,Financial assets Closing balance debt securities,LE00000,AFA0300,20858
235,2007.03,Captive financial institutions,281,Financial assets Closing balance loans,LE00000,AFA0400,61959
236,2007.03,Captive financial institutions,281,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,151460
237,2007.03,Captive financial institutions,281,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
238,2007.03,Captive financial institutions,281,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,14
239,2007.03,Captive financial institutions,281,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,29112
240,2007.03,Captive financial institutions,281,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,290282
241,2007.03,Captive financial institutions,281,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
242,2007.03,Captive financial institutions,281,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
243,2007.03,Captive financial institutions,281,Financial liabilities Closing balance debt securities,LE00000,AFL0300,17876
244,2007.03,Captive financial institutions,281,Financial liabilities Closing balance loans,LE00000,AFL0400,73827
245,2007.03,Captive financial institutions,281,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,167208
246,2007.03,Captive financial institutions,281,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
247,2007.03,Captive financial institutions,281,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,550
248,2007.03,Captive financial institutions,281,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,30821
249,2007.03,Captive financial institutions,281,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,660
